,X1,X2,X3,X4,X5
0,-594424175289006720.00000,-29.11528,-8.62015,37.73543,-348901146365286464.00000
1,-651627208677928064.00000,39.89730,-32.02713,-7.87017,-789851162033851392.00000
2,-198475598815900768.00000,-17.71451,41.85226,-24.13775,-232695529646228416.00000
3,-116295262061537824.00000,-34.10961,18.50495,15.60466,-333379751243075136.00000
4,-284776089560033920.00000,-48.73370,10.02980,38.70390,-332238771153372864.00000
