,X1,X2,X3,X4,X5
0,0.19678,0.19678,0.25462,0.18919,0.42010
1,0.20199,-0.12660,-0.00711,0.20341,0.21527
2,0.27572,-0.12873,0.18848,0.27146,0.17852
3,0.31484,0.27217,-0.03580,0.31484,0.39545
4,-0.10313,-0.22167,0.32361,-0.08535,0.41323
